Language,Address,Address1,Address2,Address3,Address4,Publication,Pubtype,Recording,Notes
Salasaca Quichua,Ecuador,,,,,http://dx.doi.org/10.1017/S0025100308003332,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Salasaca-Quichua.zip,
Sandawe,"Kondoa district, Tanzania",,,,,http://dx.doi.org/10.1017/S0025100306002647,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Sandawe.zip,
Seri,"Sonora, Mexico",,,,,http://dx.doi.org/10.1017/S0025100305001933,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Seri.zip,
Setswana (South African),"Taung, South Africa ",,,,,http://dx.doi.org/10.1017/S0025100316000050,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Setswana.zip,
Shanghai Chinese,"Shanghai, People's Republic of China",,,,,http://dx.doi.org/10.1017/S0025100315000043,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Shanghai-Chinese.zip,
Shilluk,Southern Sudan,,,,,http://dx.doi.org/10.1017/S0025100310000289,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Shilluk.zip,
Shipibo,"Ucayali, Peru",,,,,http://dx.doi.org/10.1017/S0025100301002109,Illustration,,
Shiwilu (Jebero),"Jeberos, Loreto, Peru",,,,,http://dx.doi.org/10.1017/S0025100312000370,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Shiwilu.zip,
Sindhi,"Sindh, Pakistan",,,,,http://dx.doi.org/10.1017/S0025100300005235,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Sindhi.zip,
Slovak,Slovakia,,,,,http://dx.doi.org/10.1017/S0025100310000162,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Slovak.zip,
Slovene,Slovenia,,,,,http://dx.doi.org/10.1017/S0025100300005211,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Slovene.zip,
"The sound pattern of Standard Italian, as compared with the varieties spoken in Florence, Milan and Rome","Florence, Italy",,,,,http://dx.doi.org/10.1017/S0025100305002148,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Bertinetto-Loporcaro-Italian-SI-FI-MI-RI.zip,
Southeastern Pashayi,"Dara-i-Nur, Nangarhar, Afghanistan ",,,,,http://dx.doi.org/10.1017/S0025100313000133,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Pashayi.zip,
Spokane,"Eastern Washington State, United States",,,,,http://dx.doi.org/10.1017/S0025100300006708,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Spokane.zip,
Standard Austrian German,Austria,,,,,http://dx.doi.org/10.1017/S0025100315000055,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Standard-Austrian-German.zip,
Standard Chinese (Beijing),"Beijing, People's Republic of China",,,,,http://dx.doi.org/10.1017/S0025100303001208,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Chinese-Beijing.zip,
Standard Georgian,Republic of Georgia,,,,,http://dx.doi.org/10.1017/S0025100306002659,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Standard-Georgian.zip,
Standard Malay (Brunei),Brunei,,,,,http://dx.doi.org/10.1017/S002510031100017X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Malay.zip,
Standard Modern Greek,Greece,,,,,http://dx.doi.org/10.1017/S0025100300006538,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Standard-Modern-Greek.zip,
Standard Yiddish,"Warsaw, Poland",,,,,http://dx.doi.org/10.1017/S0025100303001385,Illustration,,
Sumi (Sema),"Nagaland, North-East India",,,,,http://dx.doi.org/10.1017/S0025100312000254,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Sumi-Sema.zip,
Swedish,Sweden,,,,,http://dx.doi.org/10.1017/S0025100300004060,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Swedish.zip,
Taba,"Maluku Province, Indonesia",,,,,http://dx.doi.org/10.1017/S0025100300005326,Handbook,,
Thai,Thailand,,,,,http://dx.doi.org/10.1017/S0025100300004746,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Thai.zip,
Tamambo,"Malo, Vanuatu",,,,,http://dx.doi.org/10.1017/S0025100305002197,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Tamambo.zip,
Tamil,"Tamil Nadu, India",,,,,http://dx.doi.org/10.1017/S0025100304001549,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Tamil.zip,
Tashlhiyt Berber,Morocco,,,,,http://dx.doi.org/10.1017/S0025100313000388,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Tashlhiyt-Berber.zip,
Tausung (Suluk),"Jolo, Philippines","Sabah, Malaysia",,,,http://dx.doi.org/10.1017/S0025100312000230,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Tausug.zip,
Telugu,"Telangana, India",Andhra Pradesh India,,,,http://dx.doi.org/10.1017/S0025100316000207,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Telugu.zip,
Temne,Sierra Leone,,,,,http://dx.doi.org/10.1017/S002510031000006X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Temne.zip,
Tena Quichua,"Tena, Ecuador",,,,,http://dx.doi.org/10.1017/S0025100312000266,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Tena-Quichua.zip,
Tera,"Gombe State, Nigeria",,,,,http://dx.doi.org/10.1017/S0025100307002952,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Tera.zip,
Tilquiapan Zapotec,"Tilquiapan, Oaxaca, Mexico",,,,,http://dx.doi.org/10.1017/S0025100308003344,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Zapotec.zip,
Tukang Besi,Sulawesi,,,,,http://dx.doi.org/10.1017/S0025100300005004,Handbook,,
Turkish,Turkey,,,,,http://dx.doi.org/10.1017/S0025100300004588,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Turkish.zip,
Tyneside English,"Newcastle-Upon-Tyne, England",,,,,http://dx.doi.org/10.1017/S0025100303001397,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Tyneside-English.zip,
Upper Saxon (Chemnitz dialect),"Free State of Saxony, Germany",,,,,http://dx.doi.org/10.1017/S0025100313000145,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Upper-Saxon.zip,
Vietnamese (Hanoi Vietnamese),Vietnam,,,,,http://dx.doi.org/10.1017/S0025100311000181,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Vietnamese.zip,
