Language,Address,Address1,Address2,Address3,Address4,Publication,Pubtype,Recording,Notes
Ibibio,"Akwa Ibom State, Nigeria","Cross River State, Nigeria",,,,http://dx.doi.org/10.1017/S0025100304001550,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Ibibio.zip,
Igbo,"Lagos, Nigeria",,,,,http://dx.doi.org/10.1017/S0025100300004473,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Igbo.zip,
Ika Igbo,"Agbor, Nigeria",,,,,http://dx.doi.org/10.1017/S0025100315000067,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Ika-Igbo.zip,
Indonesian,Indonesia,,,,,http://dx.doi.org/10.1017/S0025100308003320,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Indonesian.zip,
Irish,"Dublin, Ireland",,,,,http://dx.doi.org/10.1017/S0025100300000189,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Irish.zip,
Istanbul Judeo-Spanish,"Istanbul, Turkey",,,,,http://dx.doi.org/10.1017/S0025100310000277,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Judeo-Spanish.zip,
Isthmus (Juchitán) Zapotec,"Isthmus of Tehuantepec, Oaxaca, Mexico",,,,,http://dx.doi.org/10.1017/S0025100310000174,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Isthmus-Zapotec.zip,
Italian,"Rome, Italy",,,,,http://dx.doi.org/10.1017/S0025100304001628,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Italian.zip,
Itunyoso Trique,"San Martín Itunyoso, Oaxaca, Mexico",,,,,http://dx.doi.org/10.1017/S0025100310000034,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Itunyoso-Trique.zip,
Jamaican Creole,"St Catherine Parish, Jamaica",,,,,http://dx.doi.org/10.1017/S002510030600243X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Jamaican-Creole.zip,
Japanese,Japan,,,,,http://dx.doi.org/10.1017/S002510030000445X,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Japanese.zip,
Jicarilla Apache,"New Mexico, United States",,,,,http://dx.doi.org/10.1017/S0025100302000191,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Jicarilla-Apache.zip,
Kabiye,"Togo, Benin and Ghana",,,,,http://dx.doi.org/10.1017/S0025100308003496,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Kabiye.zip,
Kalabari-Ijo,"Bayelsa State, Nigeria",,,,,http://dx.doi.org/10.1017/S002510030300121X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Kalabari-Ijo.zip,
Kedayan,"Sabah, Malaysia","Sarawak, Malaysia","Labuan, Malaysia",,,http://dx.doi.org/10.1017/S0025100314000061,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Kedayan.zip,
Kéo,"Flores, Indonesia",,,,,http://dx.doi.org/10.1017/S0025100302000178,Illustration,,
Kera,"Fianga, Chad",,,,,http://dx.doi.org/10.1017/S0025100311000168,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Kera.zip,
